GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sonar-tutorial,edu.byu.cs.sonar,CustomFileReader,53,92,8,6,13,26,8,11,4,8
sonar-tutorial,edu.byu.cs.sonar,Main,3,68,0,2,1,16,1,2,1,1
